food_name,serving_size_g,calories,protein,fat,carbohydrates,sugar,sodium,fiber,calories_from_macro,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calorie_category,is_high_protein,is_high_fiber,is_high_sodium
abon udang,100.0,380.0,34.5,16.5,20.5,6.5,1850.0,1.2,368.5,0.0908,0.0434,0.0539,tinggi,1,0,1
adas,100.0,345.0,15.8,14.8,52.3,0.0,88.0,39.8,405.6,0.0458,0.0429,0.1516,tinggi,1,1,0
adas manis,100.0,337.0,17.6,15.9,50.0,0.0,16.0,14.6,413.5,0.0522,0.0472,0.1484,tinggi,1,1,0
adas pulasari,100.0,245.0,12.5,8.5,38.5,0.5,12.0,12.5,280.5,0.051,0.0347,0.1571,sedang,0,1,0
agar-agar bubuk,100.0,306.0,6.2,0.3,80.9,0.0,102.0,7.7,351.1,0.0203,0.001,0.2644,tinggi,0,1,0
akar wangi,100.0,195.0,1.0,0.5,48.5,0.5,6.0,8.5,202.5,0.0051,0.0026,0.2487,sedang,0,1,0
alpukat,100.0,160.0,2.0,14.7,8.5,0.7,7.0,6.7,174.3,0.0125,0.0919,0.0531,sedang,0,1,0
amparan tatak,100.0,215.0,8.5,6.5,36.5,16.5,65.0,1.5,238.5,0.0395,0.0302,0.1698,sedang,0,0,0
ampela ayam,100.0,94.0,17.7,2.1,0.0,0.0,68.0,0.0,89.7,0.1883,0.0223,0.0,rendah,1,0,0
amplang kuku macan,100.0,425.0,14.5,12.5,60.5,1.5,580.0,1.5,412.5,0.0341,0.0294,0.1424,tinggi,0,0,0
ampyang kacang,100.0,425.0,12.5,22.5,45.5,28.5,65.0,4.5,434.5,0.0294,0.0529,0.1071,tinggi,0,0,0
ampyang kacang gula merah,100.0,425.0,12.5,22.5,45.5,28.5,65.0,4.5,434.5,0.0294,0.0529,0.1071,tinggi,0,0,0
andaliman batak,100.0,318.0,11.5,15.8,42.5,0.0,18.0,28.5,358.2,0.0362,0.0497,0.1336,tinggi,0,1,0
angeun lada,100.0,265.0,16.5,16.5,8.5,2.0,540.0,1.5,248.5,0.0623,0.0623,0.0321,sedang,1,0,0
anggur bali,100.0,69.0,0.7,0.2,18.0,15.5,2.0,0.9,76.6,0.0101,0.0029,0.2609,rendah,0,0,0
anggur probolinggo,100.0,69.0,0.7,0.2,18.0,15.5,2.0,0.9,76.6,0.0101,0.0029,0.2609,rendah,0,0,0
anyang ayam,100.0,165.0,11.5,6.5,12.5,2.5,380.0,3.5,154.5,0.0697,0.0394,0.0758,sedang,0,0,0
anyang pakis,100.0,95.0,4.5,4.5,9.5,2.0,320.0,3.5,96.5,0.0474,0.0474,0.1,rendah,0,0,0
apel,100.0,52.0,0.3,0.2,14.0,10.4,1.0,2.4,59.0,0.0058,0.0038,0.2692,rendah,0,0,0
apel anna,100.0,52.0,0.3,0.2,14.0,10.5,1.0,2.4,59.0,0.0058,0.0038,0.2692,rendah,0,0,0
apel fuji,100.0,56.0,0.3,0.2,15.0,11.5,1.0,2.4,63.0,0.0054,0.0036,0.2679,rendah,0,0,0
apel manalagi,100.0,53.0,0.3,0.2,14.5,11.0,1.0,2.5,61.0,0.0057,0.0038,0.2736,rendah,0,0,0
apel rome beauty,100.0,54.0,0.3,0.2,14.5,11.0,1.0,2.5,61.0,0.0056,0.0037,0.2685,rendah,0,0,0
apem kinca,100.0,195.0,3.5,4.5,35.5,16.5,75.0,1.0,196.5,0.0179,0.0231,0.1821,sedang,0,0,0
apem pinang,100.0,195.0,3.5,4.5,35.5,16.5,75.0,1.0,196.5,0.0179,0.0231,0.1821,sedang,0,0,0
apem selong betawi,100.0,215.0,3.5,5.5,38.5,18.5,75.0,1.0,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
arem-arem,100.0,215.0,6.5,5.5,32.5,1.5,420.0,1.0,205.5,0.0302,0.0256,0.1512,sedang,0,0,0
arem-arem ayam,100.0,235.0,8.5,6.5,32.5,1.5,480.0,1.0,222.5,0.0362,0.0277,0.1383,sedang,0,0,0
arem-arem oncom,100.0,225.0,8.5,6.5,32.5,1.5,420.0,2.0,222.5,0.0378,0.0289,0.1444,sedang,0,0,0
ares lombok,100.0,95.0,4.5,5.5,9.5,2.5,320.0,3.0,105.5,0.0474,0.0579,0.1,rendah,0,0,0
arsik ikan mas batak,100.0,185.0,20.5,9.5,6.5,1.5,520.0,1.5,193.5,0.1108,0.0514,0.0351,sedang,1,0,0
asam jawa,100.0,239.0,2.8,0.6,62.5,38.0,28.0,5.1,266.6,0.0117,0.0025,0.2615,sedang,0,1,0
asam kandis,100.0,225.0,2.5,0.5,58.5,32.5,25.0,5.5,248.5,0.0111,0.0022,0.26,sedang,0,1,0
asam pedas baung,100.0,145.0,17.5,5.5,7.5,2.5,580.0,1.5,149.5,0.1207,0.0379,0.0517,sedang,1,0,0
asam-asam pedas,100.0,145.0,8.5,5.5,8.5,4.5,580.0,1.5,117.5,0.0586,0.0379,0.0586,sedang,0,0,0
asinan betawi,100.0,95.0,2.5,3.5,14.0,4.5,680.0,2.5,97.5,0.0263,0.0368,0.1474,rendah,0,0,1
asinan buah bogor,100.0,95.0,1.5,1.5,18.5,8.5,480.0,2.5,93.5,0.0158,0.0158,0.1947,rendah,0,0,0
asinan jambu,100.0,65.0,1.5,0.5,14.5,6.5,480.0,3.0,68.5,0.0231,0.0077,0.2231,rendah,0,0,0
asinan kedondong,100.0,65.0,0.4,0.3,14.5,6.5,480.0,2.0,62.3,0.0062,0.0046,0.2231,rendah,0,0,0
asinan mangga,100.0,65.0,0.5,0.2,16.5,8.5,480.0,2.0,69.8,0.0077,0.0031,0.2538,rendah,0,0,0
asinan sayur jakarta,100.0,95.0,2.5,3.5,14.0,4.5,680.0,2.5,97.5,0.0263,0.0368,0.1474,rendah,0,0,1
aunu senebre,100.0,195.0,8.5,7.5,18.5,2.5,380.0,2.5,175.5,0.0436,0.0385,0.0949,sedang,0,0,0
ayam asam manis,100.0,285.0,22.5,14.5,18.5,14.5,580.0,1.0,294.5,0.0789,0.0509,0.0649,sedang,1,0,0
ayam bakar,100.0,245.0,26.5,13.5,6.5,2.0,520.0,0.8,253.5,0.1082,0.0551,0.0265,sedang,1,0,0
ayam bakar bumbu rica,100.0,265.0,23.5,16.5,8.5,2.0,580.0,1.8,276.5,0.0887,0.0623,0.0321,sedang,1,0,0
ayam betutu bali,100.0,196.0,18.4,12.1,4.1,0.9,480.0,1.0,198.9,0.0939,0.0617,0.0209,sedang,1,0,0
ayam betutu klungkung,100.0,196.0,18.4,12.1,4.1,0.9,480.0,1.0,198.9,0.0939,0.0617,0.0209,sedang,1,0,0
ayam broiler,100.0,210.0,18.5,15.0,0.0,0.0,82.0,0.0,209.0,0.0881,0.0714,0.0,sedang,1,0,0
ayam crispy korean,100.0,315.0,22.5,18.5,18.5,5.5,720.0,1.5,330.5,0.0714,0.0587,0.0587,tinggi,1,0,1
ayam geprek,100.0,315.0,25.0,20.5,8.5,1.5,620.0,1.6,318.5,0.0794,0.0651,0.027,tinggi,1,0,1
ayam goreng,100.0,285.0,25.5,18.5,5.5,1.0,450.0,0.5,290.5,0.0895,0.0649,0.0193,sedang,1,0,0
ayam goreng kalasan,100.0,295.0,26.5,18.5,5.5,1.5,480.0,0.8,294.5,0.0898,0.0627,0.0186,sedang,1,0,0
ayam goreng kremes,100.0,365.0,25.5,25.5,11.5,1.5,580.0,1.0,377.5,0.0699,0.0699,0.0315,tinggi,1,0,0
ayam goreng madu,100.0,295.0,22.5,16.5,14.5,12.5,510.0,0.8,296.5,0.0763,0.0559,0.0492,sedang,1,0,0
ayam goreng tepung,100.0,295.0,22.5,17.5,14.5,1.5,580.0,1.5,305.5,0.0763,0.0593,0.0492,sedang,1,0,0
ayam ingkung,100.0,285.0,24.5,16.5,7.5,1.5,480.0,1.0,276.5,0.086,0.0579,0.0263,sedang,1,0,0
ayam isi buluh,100.0,245.0,22.5,13.5,7.5,1.5,510.0,1.5,241.5,0.0918,0.0551,0.0306,sedang,1,0,0
ayam isi buluh manado,100.0,245.0,22.5,13.5,7.5,1.5,510.0,1.5,241.5,0.0918,0.0551,0.0306,sedang,1,0,0
ayam kampung,100.0,165.0,22.5,7.5,0.0,0.0,70.0,0.0,157.5,0.1364,0.0455,0.0,sedang,1,0,0
ayam katsu,100.0,295.0,22.5,16.5,18.5,1.5,580.0,1.5,312.5,0.0763,0.0559,0.0627,sedang,1,0,0
ayam kecap,100.0,245.0,22.5,13.5,10.5,5.5,720.0,0.8,253.5,0.0918,0.0551,0.0429,sedang,1,0,1
ayam kremes,100.0,365.0,25.5,25.5,11.5,1.5,580.0,1.0,377.5,0.0699,0.0699,0.0315,tinggi,1,0,0
ayam laksa,100.0,295.0,16.5,13.5,32.5,2.5,720.0,1.8,317.5,0.0559,0.0458,0.1102,sedang,1,0,1
ayam lodho,100.0,265.0,22.5,16.5,8.5,1.5,540.0,1.5,272.5,0.0849,0.0623,0.0321,sedang,1,0,0
ayam mercon,100.0,295.0,22.5,17.5,8.5,1.5,720.0,1.8,281.5,0.0763,0.0593,0.0288,sedang,1,0,1
ayam ngohyong,100.0,245.0,22.5,13.5,8.5,2.5,580.0,1.0,245.5,0.0918,0.0551,0.0347,sedang,1,0,0
ayam panggang banjar,100.0,265.0,26.5,14.5,6.5,1.5,510.0,0.8,262.5,0.1,0.0547,0.0245,sedang,1,0,0
ayam panggang gandu,100.0,265.0,26.5,14.5,6.5,1.5,510.0,0.8,262.5,0.1,0.0547,0.0245,sedang,1,0,0
ayam panggang kecap,100.0,245.0,22.5,12.5,12.5,5.5,720.0,0.8,252.5,0.0918,0.051,0.051,sedang,1,0,1
ayam panggang madu,100.0,245.0,26.5,12.5,8.5,4.5,510.0,0.8,252.5,0.1082,0.051,0.0347,sedang,1,0,0
ayam penyet,100.0,295.0,25.5,19.5,6.5,1.2,580.0,1.5,303.5,0.0864,0.0661,0.022,sedang,1,0,0
ayam petelur afkir,100.0,185.0,20.0,11.5,0.0,0.0,78.0,0.0,183.5,0.1081,0.0622,0.0,sedang,1,0,0
ayam pop padang,100.0,225.0,22.5,12.5,6.5,1.0,380.0,0.6,228.5,0.1,0.0556,0.0289,sedang,1,0,0
ayam rarit,100.0,245.0,22.5,13.5,7.5,1.5,510.0,1.0,241.5,0.0918,0.0551,0.0306,sedang,1,0,0
ayam rica-rica manado,100.0,265.0,23.5,16.5,8.5,2.0,580.0,1.8,276.5,0.0887,0.0623,0.0321,sedang,1,0,0
ayam saus blackpepper,100.0,245.0,22.5,13.5,8.5,4.5,720.0,1.0,245.5,0.0918,0.0551,0.0347,sedang,1,0,1
ayam saus inggris,100.0,245.0,22.5,13.5,8.5,5.5,720.0,0.8,245.5,0.0918,0.0551,0.0347,sedang,1,0,1
ayam saus mentega,100.0,285.0,22.5,18.5,8.5,4.5,580.0,0.8,290.5,0.0789,0.0649,0.0298,sedang,1,0,0
ayam saus padang,100.0,285.0,22.5,16.5,9.5,5.5,580.0,1.5,276.5,0.0789,0.0579,0.0333,sedang,1,0,0
ayam suwir balado,100.0,285.0,24.5,14.5,9.5,3.5,580.0,1.5,266.5,0.086,0.0509,0.0333,sedang,1,0,0
ayam suwir bumbu kecap,100.0,245.0,22.5,12.5,12.5,5.5,720.0,0.8,252.5,0.0918,0.051,0.051,sedang,1,0,1
ayam suwir kunyit,100.0,235.0,24.5,11.5,5.5,1.0,510.0,1.0,223.5,0.1043,0.0489,0.0234,sedang,1,0,0
ayam suwir pedas,100.0,245.0,24.5,12.5,5.5,1.5,580.0,1.0,232.5,0.1,0.051,0.0224,sedang,1,0,0
ayam taliwang bakar,100.0,265.0,24.5,16.5,5.5,1.5,540.0,1.2,268.5,0.0925,0.0623,0.0208,sedang,1,0,0
ayam taliwang goreng,100.0,285.0,25.5,18.5,5.5,1.5,540.0,1.2,290.5,0.0895,0.0649,0.0193,sedang,1,0,0
ayam taliwang lombok,100.0,265.0,24.5,16.5,5.5,1.5,540.0,1.2,268.5,0.0925,0.0623,0.0208,sedang,1,0,0
ayam tangkap aceh,100.0,285.0,24.5,16.5,8.5,1.5,540.0,1.0,280.5,0.086,0.0579,0.0298,sedang,1,0,0
ayam teriyaki,100.0,235.0,22.5,11.5,14.5,8.5,820.0,0.8,251.5,0.0957,0.0489,0.0617,sedang,1,0,1
ayam tinorangsak,100.0,295.0,23.5,19.5,7.5,1.5,540.0,1.8,299.5,0.0797,0.0661,0.0254,sedang,1,0,0
ayam tulang lunak,100.0,285.0,24.5,17.5,6.5,1.5,510.0,1.0,281.5,0.086,0.0614,0.0228,sedang,1,0,0
ayam tuturuga,100.0,265.0,22.5,14.5,8.5,1.5,540.0,1.5,254.5,0.0849,0.0547,0.0321,sedang,1,0,0
ayam ungkep,100.0,245.0,24.5,13.5,5.5,1.0,460.0,0.5,241.5,0.1,0.0551,0.0224,sedang,1,0,0
ayam ungkep kuning,100.0,245.0,24.5,13.5,5.5,1.0,460.0,0.5,241.5,0.1,0.0551,0.0224,sedang,1,0,0
ayam ungkep magelang,100.0,245.0,24.5,13.5,5.5,1.0,460.0,0.5,241.5,0.1,0.0551,0.0224,sedang,1,0,0
ayam woku,100.0,285.0,23.0,18.5,8.5,1.5,520.0,1.8,292.5,0.0807,0.0649,0.0298,sedang,1,0,0
ayam yakitori,100.0,245.0,22.5,12.5,12.5,5.5,720.0,0.8,252.5,0.0918,0.051,0.051,sedang,1,0,1
babat gongso,100.0,215.0,14.5,12.5,12.5,4.5,580.0,1.5,220.5,0.0674,0.0581,0.0581,sedang,0,0,0
babat sapi,100.0,85.0,12.5,3.5,0.0,0.0,95.0,0.0,81.5,0.1471,0.0412,0.0,rendah,0,0,0
babi guling bali,100.0,345.0,22.5,25.5,5.5,1.5,580.0,0.8,341.5,0.0652,0.0739,0.0159,tinggi,1,0,0
bagar hiu,100.0,215.0,19.5,12.5,6.5,1.5,540.0,1.5,216.5,0.0907,0.0581,0.0302,sedang,1,0,0
bagea,100.0,285.0,4.5,8.5,48.5,18.5,65.0,1.5,288.5,0.0158,0.0298,0.1702,sedang,0,0,0
bakmi jawa,100.0,295.0,10.0,10.5,38.0,2.8,700.0,2.0,286.5,0.0339,0.0356,0.1288,sedang,0,0,1
bakpia coklat,100.0,215.0,4.5,7.5,32.5,14.5,120.0,1.5,215.5,0.0209,0.0349,0.1512,sedang,0,0,0
bakpia kacang ijo,100.0,195.0,4.5,6.5,30.5,12.5,120.0,1.5,198.5,0.0231,0.0333,0.1564,sedang,0,0,0
bakpia keju,100.0,235.0,5.5,8.5,32.5,12.5,220.0,1.0,228.5,0.0234,0.0362,0.1383,sedang,0,0,0
bakpia pathok,100.0,195.0,4.5,6.5,30.5,12.5,120.0,1.5,198.5,0.0231,0.0333,0.1564,sedang,0,0,0
bakso aci,100.0,245.0,6.5,7.5,38.5,2.0,480.0,1.5,247.5,0.0265,0.0306,0.1571,sedang,0,0,0
bakso ayam mentah,100.0,215.0,13.5,9.5,14.5,1.5,520.0,1.0,197.5,0.0628,0.0442,0.0674,sedang,0,0,0
bakso bakar,100.0,285.0,16.5,14.5,18.5,3.5,620.0,1.5,270.5,0.0579,0.0509,0.0649,sedang,1,0,1
bakso bandung,100.0,245.0,14.5,11.5,18.5,2.0,580.0,1.5,235.5,0.0592,0.0469,0.0755,sedang,0,0,0
bakso beranak,100.0,295.0,17.5,14.5,22.5,2.5,620.0,1.8,290.5,0.0593,0.0492,0.0763,sedang,1,0,1
bakso boyolali,100.0,245.0,14.5,8.5,18.5,2.0,580.0,1.5,208.5,0.0592,0.0347,0.0755,sedang,0,0,0
bakso buntut,100.0,295.0,18.5,16.5,14.5,2.0,580.0,1.0,280.5,0.0627,0.0559,0.0492,sedang,1,0,0
bakso iga,100.0,295.0,18.5,16.5,14.5,2.0,580.0,1.0,280.5,0.0627,0.0559,0.0492,sedang,1,0,0
bakso ikan mentah,100.0,165.0,14.5,5.5,12.5,1.5,520.0,0.8,157.5,0.0879,0.0333,0.0758,sedang,0,0,0
bakso ikan tenggiri,100.0,195.0,14.5,6.5,18.5,2.0,580.0,1.0,190.5,0.0744,0.0333,0.0949,sedang,0,0,0
bakso jamur,100.0,195.0,11.5,7.5,22.5,2.0,580.0,3.5,203.5,0.059,0.0385,0.1154,sedang,0,0,0
bakso jumbo,100.0,295.0,17.5,14.5,22.5,2.0,580.0,1.5,290.5,0.0593,0.0492,0.0763,sedang,1,0,0
bakso krikil,100.0,215.0,12.5,8.5,22.5,2.0,580.0,1.5,216.5,0.0581,0.0395,0.1047,sedang,0,0,0
bakso lava,100.0,285.0,16.5,14.5,18.5,2.0,620.0,1.5,270.5,0.0579,0.0509,0.0649,sedang,1,0,1
bakso lobster,100.0,245.0,16.5,9.5,18.5,2.0,620.0,1.0,225.5,0.0673,0.0388,0.0755,sedang,1,0,1
bakso malang,100.0,285.0,15.5,12.5,22.5,2.0,620.0,1.8,264.5,0.0544,0.0439,0.0789,sedang,1,0,1
bakso mercon,100.0,285.0,16.5,14.5,18.5,2.0,720.0,2.5,270.5,0.0579,0.0509,0.0649,sedang,1,0,1
bakso pekalongan,100.0,245.0,14.5,11.5,18.5,2.0,580.0,1.5,235.5,0.0592,0.0469,0.0755,sedang,0,0,0
bakso sapi mentah,100.0,245.0,14.5,12.5,14.5,1.5,580.0,1.0,228.5,0.0592,0.051,0.0592,sedang,0,0,0
bakso solo,100.0,245.0,14.5,11.5,18.5,2.0,580.0,1.5,235.5,0.0592,0.0469,0.0755,sedang,0,0,0
bakso sumsum,100.0,425.0,9.5,32.5,18.5,2.0,580.0,1.0,404.5,0.0224,0.0765,0.0435,tinggi,0,0,0
bakso tahu,100.0,215.0,13.5,9.5,22.5,2.0,580.0,1.8,229.5,0.0628,0.0442,0.1047,sedang,0,0,0
bakso telur,100.0,285.0,16.5,14.5,18.5,2.0,580.0,1.5,270.5,0.0579,0.0509,0.0649,sedang,1,0,0
bakso udang mentah,100.0,145.0,13.5,4.5,12.5,1.5,520.0,0.5,144.5,0.0931,0.031,0.0862,sedang,0,0,0
bakso urat,100.0,285.0,18.5,14.5,14.5,2.0,580.0,1.0,262.5,0.0649,0.0509,0.0509,sedang,1,0,0
bakso wonogiri,100.0,245.0,14.5,11.5,18.5,2.0,580.0,1.5,235.5,0.0592,0.0469,0.0755,sedang,0,0,0
bakwan jagung,100.0,215.0,5.5,10.5,26.5,3.5,380.0,1.5,222.5,0.0256,0.0488,0.1233,sedang,0,0,0
bakwan sayur,100.0,235.0,5.5,12.5,27.5,2.0,480.0,2.2,244.5,0.0234,0.0532,0.117,sedang,0,0,0
balok menes,100.0,175.0,3.5,4.5,30.5,1.5,320.0,1.2,176.5,0.02,0.0257,0.1743,sedang,0,0,0
bandeng asep,100.0,215.0,24.5,11.5,4.5,0.5,1450.0,0.5,219.5,0.114,0.0535,0.0209,sedang,1,0,1
bandeng presto kering,100.0,195.0,22.5,8.5,4.5,1.5,1850.0,0.5,184.5,0.1154,0.0436,0.0231,sedang,1,0,1
bandeng tanpa duri,100.0,245.0,22.5,12.5,4.5,0.5,480.0,0.5,220.5,0.0918,0.051,0.0184,sedang,1,0,0
baronang bakar,100.0,195.0,24.5,8.5,4.5,0.5,480.0,0.5,192.5,0.1256,0.0436,0.0231,sedang,1,0,0
barongko,100.0,215.0,3.5,5.5,38.5,18.5,95.0,2.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
base genep bali,100.0,215.0,5.5,14.5,18.5,5.5,920.0,6.5,226.5,0.0256,0.0674,0.086,sedang,0,1,1
baso aci,100.0,245.0,6.5,7.5,38.5,2.0,480.0,1.5,247.5,0.0265,0.0306,0.1571,sedang,0,0,0
batagor bandung,100.0,275.0,11.5,12.8,29.6,1.9,448.0,1.6,279.6,0.0418,0.0465,0.1076,sedang,0,0,0
batang talas,100.0,32.0,1.5,0.2,7.0,0.5,8.0,2.5,35.8,0.0469,0.0062,0.2188,rendah,0,0,0
bawang batun manado,100.0,45.0,1.5,0.3,9.5,4.0,6.0,2.0,46.7,0.0333,0.0067,0.2111,rendah,0,0,0
bawang bombay,100.0,40.0,1.1,0.1,9.3,4.2,4.0,1.7,42.5,0.0275,0.0025,0.2325,rendah,0,0,0
bawang dayak,100.0,95.0,1.8,0.4,22.5,4.5,8.0,2.5,100.8,0.0189,0.0042,0.2368,rendah,0,0,0
bawang merah,100.0,40.0,1.1,0.1,9.3,4.2,4.0,1.7,42.5,0.0275,0.0025,0.2325,rendah,0,0,0
bawang putih,100.0,149.0,6.4,0.5,33.1,1.0,17.0,2.1,162.5,0.043,0.0034,0.2221,sedang,0,0,0
bayam,100.0,23.0,2.9,0.4,3.6,0.4,79.0,2.2,29.6,0.1261,0.0174,0.1565,rendah,0,0,0
