id,food_name,category,image_url,calories_kcal,protein_g,fat_g,carbohydrates_g,sugar_g,sodium_mg,fiber_g,source
22,nasi jagung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,175,4.2,2.5,35.0,2.0,220,2.5,hand_curated
23,nasi merah,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,165,3.8,1.5,33.5,0.8,15,2.2,hand_curated
24,nasi putih,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,178,3.2,0.5,39.5,0.1,8,0.6,hand_curated
25,nasi tim ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,198,11.5,5.0,28.0,1.2,450,1.0,hand_curated
26,soto ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,130,9.5,6.2,9.8,1.0,620,0.8,hand_curated
27,soto betawi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,245,12.3,18.4,6.8,1.8,690,0.9,hand_curated
28,soto madura,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,155,10.5,8.5,8.5,1.0,650,0.8,hand_curated
29,soto banjar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,148,9.8,7.5,9.0,1.0,580,0.8,hand_curated
30,soto lamongan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,168,11.0,9.2,9.5,1.2,640,0.9,hand_curated
31,soto kudus,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,152,10.0,7.8,9.0,1.0,600,0.8,hand_curated
32,soto padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,225,14.0,14.5,8.0,1.2,710,0.9,hand_curated
33,soto makassar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,235,13.5,16.0,7.5,1.5,680,0.9,hand_curated
34,soto mie bogor,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Mie_Bogor_1.JPG,285,11.8,10.5,32.0,2.0,650,1.5,hand_curated
35,soto sokaraja,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,160,10.5,8.5,9.5,1.2,620,0.9,hand_curated
36,soto tangkar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,220,13.5,13.8,7.8,1.5,700,0.9,hand_curated
37,soto kemiri pati,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,175,9.5,9.8,10.5,1.0,580,1.0,hand_curated
38,soto sulung surabaya,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,165,10.0,9.0,9.5,1.0,620,0.9,hand_curated
39,soto bandung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,155,10.5,7.2,10.0,1.2,590,1.0,hand_curated
40,coto makassar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,255,14.0,17.5,7.5,1.5,700,1.0,hand_curated
41,sate ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,285,20.0,15.5,12.5,2.5,520,0.8,hand_curated
42,sate kambing,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,325,22.5,23.0,5.5,1.5,480,0.5,hand_curated
43,sate sapi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,310,24.0,19.5,6.0,1.5,500,0.5,hand_curated
44,sate padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_Padang2.JPG,315,18.5,13.9,28.4,1.5,520,1.2,hand_curated
45,sate madura,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,290,21.0,16.0,11.5,2.5,530,0.8,hand_curated
46,sate lilit bali,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,245,16.5,12.5,14.0,2.0,480,1.0,hand_curated
47,sate maranggi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,295,22.0,17.0,7.5,2.5,510,0.5,hand_curated
48,sate klathak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,300,23.0,19.0,5.0,1.0,420,0.5,hand_curated
49,sate buntel solo,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,320,21.5,22.5,6.5,1.8,510,0.8,hand_curated
50,sate tegal,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,330,22.5,23.5,5.0,1.2,480,0.5,hand_curated
51,sate ponorogo,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,285,20.5,15.0,12.0,2.5,500,0.8,hand_curated
52,sate blora,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,295,21.0,16.5,11.0,2.0,510,0.8,hand_curated
53,sate ampet,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,275,18.5,14.5,12.5,2.2,520,1.0,hand_curated
54,sate kerang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,185,18.5,3.5,12.5,1.5,620,0.8,hand_curated
55,sate taichan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,195,22.0,10.5,2.5,0.5,650,0.3,hand_curated
56,mie ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,320,15.2,11.8,38.4,2.0,720,2.1,hand_curated
57,mie goreng jawa,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,310,9.5,12.5,40.0,3.5,850,2.2,hand_curated
58,mie rebus,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,245,8.5,8.5,34.0,2.5,720,2.0,hand_curated
59,mie kocok bandung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,285,11.5,10.5,35.0,2.0,680,1.8,hand_curated
60,mie aceh,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,335,14.5,13.5,38.0,3.0,780,2.3,hand_curated
61,mie celor palembang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,320,13.0,12.0,37.5,2.5,720,2.0,hand_curated
62,mie koclok cirebon,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,275,10.5,10.0,34.5,2.2,650,1.8,hand_curated
63,mie kopyok,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,265,9.5,8.5,36.0,2.0,640,1.8,hand_curated
64,mie lethek bantul,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,285,10.0,10.5,36.5,2.0,680,2.0,hand_curated
65,mie bangka,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,310,13.5,11.5,37.0,2.5,700,2.0,hand_curated
66,mie pangsit,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,305,13.0,11.0,37.5,2.5,720,2.0,hand_curated
67,mie tek-tek,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,295,9.5,10.5,39.0,3.0,780,2.1,hand_curated
68,mie gomak medan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,285,10.5,10.0,37.0,2.5,660,2.0,hand_curated
69,mie yamin,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,315,13.0,11.5,38.5,3.2,720,2.0,hand_curated
70,bakmi jawa,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,295,10.0,10.5,38.0,2.8,700,2.0,hand_curated
71,gulai kambing,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,325,19.5,22.5,7.5,2.0,580,1.5,hand_curated
72,gulai ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,255,16.5,16.5,8.0,2.0,540,1.4,hand_curated
73,gulai ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,215,17.0,12.5,7.5,2.0,560,1.3,hand_curated
74,gulai otak sapi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,285,14.5,22.0,5.5,1.5,520,1.2,hand_curated
75,gulai nangka,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,185,4.5,10.5,18.5,4.0,420,3.5,hand_curated
76,gulai cincang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,295,18.5,20.0,7.0,1.8,550,1.3,hand_curated
77,gulai tunjang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,245,15.5,16.5,7.5,1.8,520,1.2,hand_curated
78,kari ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,265,17.0,17.0,8.5,2.2,560,1.5,hand_curated
79,kari kambing,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,330,19.8,23.0,7.8,2.0,590,1.5,hand_curated
80,kari ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,220,17.5,12.8,7.8,2.0,570,1.4,hand_curated
81,gulai kepala ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,215,16.5,12.0,8.0,2.0,560,1.5,hand_curated
82,gulai daun singkong,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,175,5.5,10.0,14.0,2.5,380,4.5,hand_curated
83,sambal terasi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,95,2.5,6.5,8.5,3.0,620,1.5,hand_curated
84,sambal matah,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,110,2.0,8.5,7.5,2.5,480,1.4,hand_curated
85,sambal bajak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,120,2.2,8.5,9.5,3.5,580,1.5,hand_curated
86,sambal ijo,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,105,2.5,7.8,7.5,2.5,510,1.6,hand_curated
87,sambal dabu-dabu,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,85,1.8,5.5,8.0,3.0,320,1.5,hand_curated
88,sambal goreng tempe,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_teri_tempe.JPG,185,10.5,11.5,11.0,2.0,450,3.5,hand_curated
89,sambal goreng teri,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_teri_tempe.JPG,175,13.5,10.5,7.5,1.8,820,1.2,hand_curated
90,sambal kecap,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Tempe_mendoan_sambal_kecap.jpg,85,1.5,3.5,10.5,4.5,920,0.8,hand_curated
91,sambal balado,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,125,3.0,8.5,9.5,3.5,580,1.8,hand_curated
92,sambal goreng kentang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_kentang.JPG,165,3.5,9.5,16.5,3.0,480,2.0,hand_curated
93,sambal petai,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,155,8.5,8.5,12.0,2.5,520,3.5,hand_curated
94,sambal roa manado,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,165,12.5,9.5,7.5,2.0,820,1.2,hand_curated
95,sambal gami,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ikan_dengan_Sambal_Gami.JPG,125,6.5,7.5,8.5,2.5,620,1.8,hand_curated
96,sambal lampung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,88,1.5,7.2,5.1,2.0,325,1.0,hand_curated
97,sambal colo-colo,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,75,1.5,4.5,7.5,3.0,380,1.5,hand_curated
98,sayur asem,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,78,2.5,1.2,14.5,4.5,420,3.5,hand_curated
99,sayur lodeh,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,155,4.5,10.5,12.5,3.5,480,3.0,hand_curated
100,sayur bening bayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,45,2.5,0.5,8.5,1.5,380,2.5,hand_curated
101,sayur bobor labu,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,135,4.0,8.5,12.5,3.0,410,3.2,hand_curated
102,sayur oyong telur,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Kerak_telor.JPG,55,2.0,0.8,10.5,2.0,320,2.0,hand_curated
103,gado-gado,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,145,6.8,8.4,12.3,3.5,410,3.1,hand_curated
104,karedok,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,125,5.5,7.5,11.5,3.2,320,3.5,hand_curated
105,pecel sayur,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,135,6.5,7.8,12.5,3.0,380,3.5,hand_curated
106,rujak cingur,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,185,7.5,8.5,22.0,5.5,520,3.0,hand_curated
107,asinan betawi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,95,2.5,3.5,14.0,4.5,680,2.5,hand_curated
108,ketoprak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,215,8.5,9.5,24.0,3.5,620,2.8,hand_curated
109,lotek,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,145,6.5,8.5,13.0,3.0,410,3.2,hand_curated
110,urap sayur,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,115,4.5,7.5,8.5,2.5,350,3.0,hand_curated
111,plecing kangkung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,65,3.0,1.5,11.5,2.0,420,2.8,hand_curated
112,tongseng kambing,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,265,15.5,17.5,10.5,2.5,520,1.5,hand_curated
113,rendang daging sapi padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,468,22.6,40.1,7.8,1.2,148,1.6,hand_curated
114,rendang ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,385,22.5,29.5,7.5,1.2,160,1.5,hand_curated
115,rendang paru,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,345,21.0,25.5,8.5,1.5,165,1.4,hand_curated
116,rendang hati sapi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,325,19.5,23.0,9.5,1.5,170,1.4,hand_curated
117,rendang telur,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,285,12.5,22.5,8.5,1.2,155,1.3,hand_curated
118,dendeng balado,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,385,28.5,24.5,9.5,2.5,520,1.2,hand_curated
119,semur daging,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,245,17.5,14.5,9.5,4.5,620,1.2,hand_curated
120,empal gentong cirebon,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,315,18.5,20.5,10.5,2.5,580,1.5,hand_curated
121,empal gepuk,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,345,22.5,22.5,10.5,2.0,550,1.3,hand_curated
122,rawon daging,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Rawon_A.JPG,225,15.5,13.5,9.5,1.5,680,1.4,hand_curated
123,ayam goreng,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,285,25.5,18.5,5.5,1.0,450,0.5,hand_curated
124,ayam bakar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,245,26.5,13.5,6.5,2.0,520,0.8,hand_curated
125,ayam betutu bali,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,196,18.4,12.1,4.1,0.9,480,1.0,hand_curated
126,ayam taliwang lombok,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,265,24.5,16.5,5.5,1.5,540,1.2,hand_curated
127,ayam penyet,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,295,25.5,19.5,6.5,1.2,580,1.5,hand_curated
128,ayam geprek,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,315,25.0,20.5,8.5,1.5,620,1.6,hand_curated
129,ayam rica-rica manado,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,265,23.5,16.5,8.5,2.0,580,1.8,hand_curated
130,ayam kecap,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,245,22.5,13.5,10.5,5.5,720,0.8,hand_curated
131,ayam woku,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,285,23.0,18.5,8.5,1.5,520,1.8,hand_curated
132,ayam tinorangsak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,295,23.5,19.5,7.5,1.5,540,1.8,hand_curated
133,ayam pop padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,225,22.5,12.5,6.5,1.0,380,0.6,hand_curated
134,ayam pelalah,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,255,22.0,15.5,7.5,1.5,500,1.5,hand_curated
135,ayam kremes,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,365,25.5,25.5,11.5,1.5,580,1.0,hand_curated
136,opor ayam,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,275,20.5,18.5,9.5,2.5,520,1.5,hand_curated
137,pecel pitik banyuwangi,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,218,15.8,11.5,14.2,2.8,380,2.5,hand_curated
138,ikan bakar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Ikan_dengan_Sambal_Gami.JPG,175,24.5,8.5,2.5,0.5,420,0.3,hand_curated
139,ikan goreng,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,245,25.0,15.5,4.5,0.5,480,0.4,hand_curated
140,pepes ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,155,21.5,6.5,4.5,1.0,380,1.2,hand_curated
141,pindang ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,125,19.5,3.5,4.5,1.0,520,1.0,hand_curated
142,ikan woku belanga,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,195,22.5,10.5,5.5,1.2,450,1.5,hand_curated
143,pecak ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,155,18.5,7.5,6.5,1.2,420,1.4,hand_curated
144,arsik ikan mas batak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,185,20.5,9.5,6.5,1.5,520,1.5,hand_curated
145,ikan kuah kuning,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,175,19.5,9.5,6.0,1.5,480,1.4,hand_curated
146,pesmol ikan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,185,20.0,10.0,7.5,2.5,450,1.3,hand_curated
147,ikan pallumara makassar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,165,18.5,8.5,5.5,1.5,460,1.4,hand_curated
148,udang bakar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Udang_Sambal_Petai.jpg,145,22.5,4.5,4.5,1.0,420,0.5,hand_curated
149,cumi goreng tepung,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Siomay_Udang_Glodok.JPG,285,18.5,15.5,22.0,1.0,520,1.0,hand_curated
150,kepiting saus padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Siomay_Udang_Glodok.JPG,265,20.5,14.5,12.5,3.5,620,1.5,hand_curated
