id,food_name,category,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,sugar_g,sodium_mg,fiber_g,image,source
13,nasi jamblang cirebon,makanan-jadi,,265,9.0,10.5,33.0,2.2,520,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
14,nasi megono pekalongan,makanan-jadi,,195,5.5,6.5,29.5,1.5,410,2.2,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,generated_v6
15,nasi krawu gresik,makanan-jadi,,310,14.2,12.5,35.0,2.5,620,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
16,nasi langgi solo,makanan-jadi,,285,10.5,11.0,32.5,2.0,540,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,generated_v6
17,nasi bogana tegal,makanan-jadi,,270,11.0,10.5,31.0,2.0,510,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,generated_v6
18,nasi kebuli,makanan-jadi,,335,13.5,15.8,34.0,2.5,580,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
19,nasi briyani,makanan-jadi,,340,12.8,16.2,35.0,3.0,620,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
20,nasi lemak,makanan-jadi,,295,7.5,13.5,35.0,2.0,480,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
21,nasi kapau,makanan-jadi,,395,15.0,18.5,42.5,3.2,750,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
22,nasi jagung,makanan-jadi,,175,4.2,2.5,35.0,2.0,220,2.5,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
23,nasi merah,makanan-jadi,,165,3.8,1.5,33.5,0.8,15,2.2,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
24,nasi putih,makanan-jadi,,178,3.2,0.5,39.5,0.1,8,0.6,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
25,nasi tim ayam,makanan-jadi,,198,11.5,5.0,28.0,1.2,450,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
26,soto ayam,makanan-jadi,,130,9.5,6.2,9.8,1.0,620,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
27,soto betawi,makanan-jadi,,245,12.3,18.4,6.8,1.8,690,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
28,soto madura,makanan-jadi,,155,10.5,8.5,8.5,1.0,650,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
29,soto banjar,makanan-jadi,,148,9.8,7.5,9.0,1.0,580,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
30,soto lamongan,makanan-jadi,,168,11.0,9.2,9.5,1.2,640,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
31,soto kudus,makanan-jadi,,152,10.0,7.8,9.0,1.0,600,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
32,soto padang,makanan-jadi,,225,14.0,14.5,8.0,1.2,710,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
33,soto makassar,makanan-jadi,,235,13.5,16.0,7.5,1.5,680,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
34,soto mie bogor,makanan-jadi,,285,11.8,10.5,32.0,2.0,650,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Mie_Bogor_1.JPG,generated_v6
35,soto sokaraja,makanan-jadi,,160,10.5,8.5,9.5,1.2,620,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
36,soto tangkar,makanan-jadi,,220,13.5,13.8,7.8,1.5,700,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
37,soto kemiri pati,makanan-jadi,,175,9.5,9.8,10.5,1.0,580,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_ayam.JPG,generated_v6
38,soto sulung surabaya,makanan-jadi,,165,10.0,9.0,9.5,1.0,620,0.9,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
39,soto bandung,makanan-jadi,,155,10.5,7.2,10.0,1.2,590,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
40,coto makassar,makanan-jadi,,255,14.0,17.5,7.5,1.5,700,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Soto_Betawi_Jakarta_Street_Side_Food.JPG,generated_v6
41,sate ayam,makanan-jadi,,285,20.0,15.5,12.5,2.5,520,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
42,sate kambing,makanan-jadi,,325,22.5,23.0,5.5,1.5,480,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
43,sate sapi,makanan-jadi,,310,24.0,19.5,6.0,1.5,500,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
44,sate padang,makanan-jadi,,315,18.5,13.9,28.4,1.5,520,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_Padang2.JPG,generated_v6
45,sate madura,makanan-jadi,,290,21.0,16.0,11.5,2.5,530,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
46,sate lilit bali,makanan-jadi,,245,16.5,12.5,14.0,2.0,480,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
47,sate maranggi,makanan-jadi,,295,22.0,17.0,7.5,2.5,510,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
48,sate klathak,makanan-jadi,,300,23.0,19.0,5.0,1.0,420,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
49,sate buntel solo,makanan-jadi,,320,21.5,22.5,6.5,1.8,510,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
50,sate tegal,makanan-jadi,,330,22.5,23.5,5.0,1.2,480,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
51,sate ponorogo,makanan-jadi,,285,20.5,15.0,12.0,2.5,500,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
52,sate blora,makanan-jadi,,295,21.0,16.5,11.0,2.0,510,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
53,sate ampet,makanan-jadi,,275,18.5,14.5,12.5,2.2,520,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
54,sate kerang,makanan-jadi,,185,18.5,3.5,12.5,1.5,620,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
55,sate taichan,makanan-jadi,,195,22.0,10.5,2.5,0.5,650,0.3,https://commons.wikimedia.org/wiki/Special:FilePath/Sate_kambing_sate_ayam.JPG,generated_v6
56,mie ayam,makanan-jadi,,320,15.2,11.8,38.4,2.0,720,2.1,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
57,mie goreng jawa,makanan-jadi,,310,9.5,12.5,40.0,3.5,850,2.2,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
58,mie rebus,makanan-jadi,,245,8.5,8.5,34.0,2.5,720,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
59,mie kocok bandung,makanan-jadi,,285,11.5,10.5,35.0,2.0,680,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
60,mie aceh,makanan-jadi,,335,14.5,13.5,38.0,3.0,780,2.3,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
61,mie celor palembang,makanan-jadi,,320,13.0,12.0,37.5,2.5,720,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
62,mie koclok cirebon,makanan-jadi,,275,10.5,10.0,34.5,2.2,650,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
63,mie kopyok,makanan-jadi,,265,9.5,8.5,36.0,2.0,640,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
64,mie lethek bantul,makanan-jadi,,285,10.0,10.5,36.5,2.0,680,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
65,mie bangka,makanan-jadi,,310,13.5,11.5,37.0,2.5,700,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
66,mie pangsit,makanan-jadi,,305,13.0,11.0,37.5,2.5,720,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
67,mie tek-tek,makanan-jadi,,295,9.5,10.5,39.0,3.0,780,2.1,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
68,mie gomak medan,makanan-jadi,,285,10.5,10.0,37.0,2.5,660,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
69,mie yamin,makanan-jadi,,315,13.0,11.5,38.5,3.2,720,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
70,bakmi jawa,makanan-jadi,,295,10.0,10.5,38.0,2.8,700,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_Ayam_Bakso_Ceker.JPG,generated_v6
71,gulai kambing,makanan-jadi,,325,19.5,22.5,7.5,2.0,580,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,generated_v6
72,gulai ayam,makanan-jadi,,255,16.5,16.5,8.0,2.0,540,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
73,gulai ikan,makanan-jadi,,215,17.0,12.5,7.5,2.0,560,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
74,gulai otak sapi,makanan-jadi,,285,14.5,22.0,5.5,1.5,520,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,generated_v6
75,gulai nangka,makanan-jadi,,185,4.5,10.5,18.5,4.0,420,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
76,gulai cincang,makanan-jadi,,295,18.5,20.0,7.0,1.8,550,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
77,gulai tunjang,makanan-jadi,,245,15.5,16.5,7.5,1.8,520,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,generated_v6
78,kari ayam,makanan-jadi,,265,17.0,17.0,8.5,2.2,560,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
79,kari kambing,makanan-jadi,,330,19.8,23.0,7.8,2.0,590,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,generated_v6
80,kari ikan,makanan-jadi,,220,17.5,12.8,7.8,2.0,570,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
81,gulai kepala ikan,makanan-jadi,,215,16.5,12.0,8.0,2.0,560,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
82,gulai daun singkong,makanan-jadi,,175,5.5,10.0,14.0,2.5,380,4.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_ayam.JPG,generated_v6
83,sambal terasi,makanan-jadi,,95,2.5,6.5,8.5,3.0,620,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
84,sambal matah,makanan-jadi,,110,2.0,8.5,7.5,2.5,480,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
85,sambal bajak,makanan-jadi,,120,2.2,8.5,9.5,3.5,580,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
86,sambal ijo,makanan-jadi,,105,2.5,7.8,7.5,2.5,510,1.6,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
87,sambal dabu-dabu,makanan-jadi,,85,1.8,5.5,8.0,3.0,320,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
88,sambal goreng tempe,makanan-jadi,,185,10.5,11.5,11.0,2.0,450,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_teri_tempe.JPG,generated_v6
89,sambal goreng teri,makanan-jadi,,175,13.5,10.5,7.5,1.8,820,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_teri_tempe.JPG,generated_v6
90,sambal kecap,makanan-jadi,,85,1.5,3.5,10.5,4.5,920,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Tempe_mendoan_sambal_kecap.jpg,generated_v6
91,sambal balado,makanan-jadi,,125,3.0,8.5,9.5,3.5,580,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
92,sambal goreng kentang,makanan-jadi,,165,3.5,9.5,16.5,3.0,480,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_goreng_kentang.JPG,generated_v6
93,sambal petai,makanan-jadi,,155,8.5,8.5,12.0,2.5,520,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
94,sambal roa manado,makanan-jadi,,165,12.5,9.5,7.5,2.0,820,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
95,sambal gami,makanan-jadi,,125,6.5,7.5,8.5,2.5,620,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Ikan_dengan_Sambal_Gami.JPG,generated_v6
96,sambal lampung,makanan-jadi,,88,1.5,7.2,5.1,2.0,325,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
97,sambal colo-colo,makanan-jadi,,75,1.5,4.5,7.5,3.0,380,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Sambal_lampung.JPG,generated_v6
98,sayur asem,makanan-jadi,,78,2.5,1.2,14.5,4.5,420,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
99,sayur lodeh,makanan-jadi,,155,4.5,10.5,12.5,3.5,480,3.0,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
100,sayur bening bayam,makanan-jadi,,45,2.5,0.5,8.5,1.5,380,2.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
101,sayur bobor labu,makanan-jadi,,135,4.0,8.5,12.5,3.0,410,3.2,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
102,sayur oyong telur,makanan-jadi,,55,2.0,0.8,10.5,2.0,320,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Kerak_telor.JPG,generated_v6
103,gado-gado,makanan-jadi,,145,6.8,8.4,12.3,3.5,410,3.1,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
104,karedok,makanan-jadi,,125,5.5,7.5,11.5,3.2,320,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
105,pecel sayur,makanan-jadi,,135,6.5,7.8,12.5,3.0,380,3.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
106,rujak cingur,makanan-jadi,,185,7.5,8.5,22.0,5.5,520,3.0,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
107,asinan betawi,makanan-jadi,,95,2.5,3.5,14.0,4.5,680,2.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
108,ketoprak,makanan-jadi,,215,8.5,9.5,24.0,3.5,620,2.8,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
109,lotek,makanan-jadi,,145,6.5,8.5,13.0,3.0,410,3.2,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
110,urap sayur,makanan-jadi,,115,4.5,7.5,8.5,2.5,350,3.0,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
111,plecing kangkung,makanan-jadi,,65,3.0,1.5,11.5,2.0,420,2.8,https://commons.wikimedia.org/wiki/Special:FilePath/Gado-gado_in_Jakarta.JPG,generated_v6
112,tongseng kambing,makanan-jadi,,265,15.5,17.5,10.5,2.5,520,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Gulai_kambing_masakan_Padang.JPG,generated_v6
113,rendang daging sapi padang,makanan-jadi,,468,22.6,40.1,7.8,1.2,148,1.6,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
114,rendang ayam,makanan-jadi,,385,22.5,29.5,7.5,1.2,160,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
115,rendang paru,makanan-jadi,,345,21.0,25.5,8.5,1.5,165,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
116,rendang hati sapi,makanan-jadi,,325,19.5,23.0,9.5,1.5,170,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
117,rendang telur,makanan-jadi,,285,12.5,22.5,8.5,1.2,155,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
118,dendeng balado,makanan-jadi,,385,28.5,24.5,9.5,2.5,520,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
119,semur daging,makanan-jadi,,245,17.5,14.5,9.5,4.5,620,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
120,empal gentong cirebon,makanan-jadi,,315,18.5,20.5,10.5,2.5,580,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
121,empal gepuk,makanan-jadi,,345,22.5,22.5,10.5,2.0,550,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Rendang_daging_sapi_asli_Padang.JPG,generated_v6
122,rawon daging,makanan-jadi,,225,15.5,13.5,9.5,1.5,680,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Rawon_A.JPG,generated_v6
123,ayam goreng,makanan-jadi,,285,25.5,18.5,5.5,1.0,450,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
124,ayam bakar,makanan-jadi,,245,26.5,13.5,6.5,2.0,520,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
125,ayam betutu bali,makanan-jadi,,196,18.4,12.1,4.1,0.9,480,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,generated_v6
126,ayam taliwang lombok,makanan-jadi,,265,24.5,16.5,5.5,1.5,540,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
127,ayam penyet,makanan-jadi,,295,25.5,19.5,6.5,1.2,580,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
128,ayam geprek,makanan-jadi,,315,25.0,20.5,8.5,1.5,620,1.6,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
129,ayam rica-rica manado,makanan-jadi,,265,23.5,16.5,8.5,2.0,580,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
130,ayam kecap,makanan-jadi,,245,22.5,13.5,10.5,5.5,720,0.8,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
131,ayam woku,makanan-jadi,,285,23.0,18.5,8.5,1.5,520,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
132,ayam tinorangsak,makanan-jadi,,295,23.5,19.5,7.5,1.5,540,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
133,ayam pop padang,makanan-jadi,,225,22.5,12.5,6.5,1.0,380,0.6,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
134,ayam pelalah,makanan-jadi,,255,22.0,15.5,7.5,1.5,500,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,generated_v6
135,ayam kremes,makanan-jadi,,365,25.5,25.5,11.5,1.5,580,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Ayam_goreng_in_Jakarta.JPG,generated_v6
136,opor ayam,makanan-jadi,,275,20.5,18.5,9.5,2.5,520,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
137,pecel pitik banyuwangi,makanan-jadi,,218,15.8,11.5,14.2,2.8,380,2.5,https://commons.wikimedia.org/wiki/Special:FilePath/Pecel_Pitik_Banyuwangi.jpg,generated_v6
138,ikan bakar,makanan-jadi,,175,24.5,8.5,2.5,0.5,420,0.3,https://commons.wikimedia.org/wiki/Special:FilePath/Ikan_dengan_Sambal_Gami.JPG,generated_v6
139,ikan goreng,makanan-jadi,,245,25.0,15.5,4.5,0.5,480,0.4,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
140,pepes ikan,makanan-jadi,,155,21.5,6.5,4.5,1.0,380,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
141,pindang ikan,makanan-jadi,,125,19.5,3.5,4.5,1.0,520,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
142,ikan woku belanga,makanan-jadi,,195,22.5,10.5,5.5,1.2,450,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
143,pecak ikan,makanan-jadi,,155,18.5,7.5,6.5,1.2,420,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
144,arsik ikan mas batak,makanan-jadi,,185,20.5,9.5,6.5,1.5,520,1.5,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
145,ikan kuah kuning,makanan-jadi,,175,19.5,9.5,6.0,1.5,480,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
146,pesmol ikan,makanan-jadi,,185,20.0,10.0,7.5,2.5,450,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
147,ikan pallumara makassar,makanan-jadi,,165,18.5,8.5,5.5,1.5,460,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Goreng_ikan_teri.JPG,generated_v6
148,udang bakar,makanan-jadi,,145,22.5,4.5,4.5,1.0,420,0.5,https://commons.wikimedia.org/wiki/Special:FilePath/Udang_Sambal_Petai.jpg,generated_v6
149,cumi goreng tepung,makanan-jadi,,285,18.5,15.5,22.0,1.0,520,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Siomay_Udang_Glodok.JPG,generated_v6
